,missing_count,missing_pct
p_aaer,145081,99.34
ch_cm,17107,11.71
ch_cs,15918,10.9
ch_roa,12678,8.68
dpi,9228,6.32
ch_fcf,5407,3.7
ch_rsst,4851,3.32
dch_wc,4759,3.26
dch_rec,4743,3.25
dch_inv,4615,3.16
soft_assets,592,0.41
EBIT,591,0.4
reoa,591,0.4
bm,18,0.01
dltt,0,0.0
dltis,0,0.0
dlc,0,0.0
csho,0,0.0
cogs,0,0.0
che,0,0.0
ceq,0,0.0
at,0,0.0
ap,0,0.0
act,0,0.0
misstate,0,0.0
gvkey,0,0.0
fyear,0,0.0
dp,0,0.0
invt,0,0.0
ib,0,0.0
txt,0,0.0
txp,0,0.0
sstk,0,0.0
sale,0,0.0
rect,0,0.0
re,0,0.0
pstk,0,0.0
ppegt,0,0.0
ni,0,0.0
lt,0,0.0
lct,0,0.0
ivst,0,0.0
ivao,0,0.0
xint,0,0.0
prcc_f,0,0.0
issue,0,0.0
