,0
csho,87.07887466736152
ivao,59.29763118229973
sstk,58.14127407668473
dltis,52.0008895588547
prcc_f,50.94941730576715
ivst,42.50549901758361
pstk,35.79014588677579
dlc,29.1828857502397
re,25.850183468481756
txp,25.417456200639162
txt,22.587051620232074
ib,22.20547157149183
cogs,21.973491454062877
che,20.863527616779795
rect,19.949100255751095
sale,19.30745993018874
ceq,18.430112666158116
invt,18.280336330229524
ppegt,17.449188778527628
ni,17.41387101815256
dp,16.59888458873128
ap,15.746885113865266
lct,15.49370988951052
act,14.622569763231144
dltt,13.879783373773165
at,13.64618201349962
xint,13.185318436386499
lt,13.058111242602761
