feature,group,correlation,p_value,significant
prcc_f,RAW,0.06495912803849742,1.0047511787088263e-63,True
ap,RAW,0.053697062843586496,4.3949865094753483e-44,True
sale,RAW,0.051867820619538624,3.0341769639781414e-41,True
cogs,RAW,0.04978312076311554,3.965392860861719e-38,True
dltt,RAW,0.04929707478402108,2.0257106414590604e-37,True
at,RAW,0.04887927620894293,8.126427961955115e-37,True
lt,RAW,0.047676427085959976,4.153498363579801e-35,True
act,RAW,0.04584278351891256,1.3856827088773235e-32,True
invt,RAW,0.04529891977136759,7.433832098969495e-32,True
lct,RAW,0.0451662166660004,1.1166437818164074e-31,True
xint,RAW,0.04480353591839748,3.3746379398349544e-31,True
soft_assets,RATIO,0.04447085963316255,9.234925066843777e-31,True
ceq,RAW,0.04267659510842507,1.853101487836972e-28,True
rect,RAW,0.04224929856389733,6.344618818776958e-28,True
sstk,RAW,0.039992370217159186,3.447547365831404e-25,True
dltis,RAW,0.03525270207821079,6.308898656367483e-20,True
dp,RAW,0.030013485387582237,7.251083205813415e-15,True
dch_rec,RATIO,0.028403803917320572,1.8037176121302402e-13,True
che,RAW,0.02635637020285419,8.392417697462762e-12,True
csho,RAW,0.025799500745190797,2.273388736230255e-11,True
dch_inv,RATIO,0.024237554607166013,3.3358206431774375e-10,True
txt,RAW,0.024116978215314104,4.0771196492480535e-10,True
issue,RATIO,0.02362452229696855,9.16181953145162e-10,True
txp,RAW,0.02151993275371484,2.4367077013386512e-08,True
dlc,RAW,0.020696305986908203,8.130293667902918e-08,True
ch_fcf,RATIO,0.019342053358271022,5.354881158058297e-07,True
ppegt,RAW,0.018961877244347187,8.896977486861701e-07,True
ch_cs,RATIO,0.017206680872630446,8.211272927456105e-06,True
re,RAW,0.017034882922828887,1.0097859137382625e-05,True
ivao,RAW,0.01684746827791769,1.2626105070425283e-05,True
dch_wc,RATIO,0.015817260607502708,4.141415226047082e-05,True
ch_rsst,RATIO,0.015768818215916587,4.371967894433979e-05,True
reoa,RATIO,0.013631708802608961,0.00041095465988788207,True
ivst,RAW,0.01347184447579642,0.00048029650820797647,True
ebit,RATIO,0.012748429820857308,0.0009531333441422721,True
pstk,RAW,0.01155695267222077,0.0027427319365574414,True
ch_cm,RATIO,0.006030470949528885,0.11808403594979791,False
ib,RAW,0.005104278029016977,0.18589214573291113,False
ch_roa,RATIO,0.004226617467496981,0.2733537976093113,False
dpi,RATIO,0.00398325571286913,0.3019308853722677,False
ni,RAW,0.003892930489270474,0.31302612451227196,False
bm,RATIO,0.001947264512637353,0.6138032619801292,False
