AUC-ROC,Avg-Precision,F1-Score,G-Mean,NDCG@100,Prec@100,Best-Threshold,scenario,model
0.6744,0.0039,0.011,0.3958,0.0,0.0,0.0371,baseline,RandomForest
0.5941,0.0029,0.0078,0.516,0.0,0.0,0.0198,baseline,XGBoost
0.68,0.0036,0.0091,0.4216,0.0,0.0,0.1873,smote,RandomForest
0.5625,0.0027,0.0062,0.5245,0.0,0.0,0.5,smote,XGBoost
0.698,0.0044,0.0161,0.3289,0.0,0.0,0.0691,ctgan_ratio3,RandomForest
0.681,0.004,0.0119,0.1177,0.0092,0.01,0.0642,ctgan_ratio3,XGBoost
0.7267,0.0044,0.0114,0.3963,0.0,0.0,0.0543,ctgan_ratio5,RandomForest
0.6789,0.004,0.0124,0.1661,0.0,0.0,0.0371,ctgan_ratio5,XGBoost
0.7161,0.0045,0.0131,0.3818,0.0,0.0,0.0691,ctgan_ratio10,RandomForest
0.6658,0.004,0.0174,0.1178,0.011,0.01,0.0666,ctgan_ratio10,XGBoost
0.6899,0.0043,0.0129,0.2609,0.0,0.0,0.1208,ctgan_ratio20,RandomForest
0.6766,0.0038,0.0078,0.1656,0.0,0.0,0.0198,ctgan_ratio20,XGBoost
