feature,group,effect_size,p_value,significant
sstk,RAW,0.37485900746848966,3.049951744113448e-48,True
prcc_f,RAW,0.36135985652737057,4.2031587634251614e-44,True
act,RAW,0.3590203792468012,1.4807456573664062e-43,True
rect,RAW,0.35428343900364667,1.838956589680074e-42,True
lct,RAW,0.3378982303485276,8.832147777057709e-39,True
at,RAW,0.33368099692567665,7.332759766634949e-38,True
ceq,RAW,0.3296009271456648,5.542595679996518e-37,True
ap,RAW,0.32024485168155326,5.221110114559757e-35,True
lt,RAW,0.31751763084871953,1.9170484873654128e-34,True
sale,RAW,0.3144656421006473,8.091794269897926e-34,True
soft_assets,RATIO,0.30017250135273477,5.806824196973876e-31,True
cogs,RAW,0.28891779388798455,8.290481581562106e-29,True
csho,RAW,0.2850924823532195,4.2975910444682235e-28,True
dltis,RAW,0.2784059726995953,2.8429308475330596e-29,True
xint,RAW,0.26928331290207286,2.957745578738229e-25,True
che,RAW,0.2669136554116829,7.9116149304304875e-25,True
dp,RAW,0.26109082881439294,7.950619026703027e-24,True
dltt,RAW,0.2556689420961713,4.105613353008605e-23,True
dlc,RAW,0.2459088906960274,1.8564418943805786e-21,True
invt,RAW,0.23147099695363238,2.995113335941117e-19,True
ch_cs,RATIO,0.22830913751702853,1.462757658628899e-17,True
ppegt,RAW,0.20359653712753478,4.227099663850487e-15,True
dch_rec,RATIO,0.19963371259459706,2.2935429132737722e-14,True
ch_fcf,RATIO,0.1862234980810672,1.4007622007075598e-12,True
txt,RAW,0.18398084362283607,9.614876939044888e-13,True
ch_rsst,RATIO,0.15277270800077347,6.188426954684928e-09,True
dch_inv,RATIO,0.14349366450594947,3.634633785686424e-08,True
re,RAW,0.13945757926520996,7.630990690426165e-08,True
bm,RATIO,0.1360270311833629,1.5763824026793658e-07,True
ib,RAW,0.1199904721919276,3.7415023402359517e-06,True
ni,RAW,0.11742124656110176,6.005014730127706e-06,True
dch_wc,RATIO,0.10359873166612155,7.716750561908865e-05,True
txp,RAW,0.10256533887671249,1.0323977884094032e-05,True
ivao,RAW,0.09203725524458539,2.105024007493031e-05,True
issue,RATIO,0.09070123988057421,9.207271049646297e-10,True
reoa,RATIO,0.09042288475181581,0.0004912360196029761,True
ebit,RATIO,0.05855454051634523,0.02400343998786973,True
ivst,RAW,0.05121124694977719,0.018400457679997095,True
ch_roa,RATIO,0.04319156742011965,0.10620051650251527,False
ch_cm,RATIO,0.0119145095571499,0.6562217698410913,False
dpi,RATIO,0.011510213243909106,0.6611866698731956,False
pstk,RAW,0.006950796909342083,0.6884730808787567,False
